Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sw_login,Edge Chromium 124,,,21-04-2024 16:44:19,21-04-2024 16:44:50,30.497s,PASSED
,,,,,,,
Test Cases/Swag_Lab/Sw_login,Edge Chromium 124,,,21-04-2024 16:44:20,21-04-2024 16:44:50,29.419s,PASSED
"openBrowser("""")",Edge Chromium 124,,,21-04-2024 16:44:22,21-04-2024 16:44:35,12.439s,PASSED
"navigateToUrl(""https://www.saucedemo.com/v1/index.html"")",Edge Chromium 124,,,21-04-2024 16:44:35,21-04-2024 16:44:37,2.406s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_db77ac""), ""standard_user"")",Edge Chromium 124,,,21-04-2024 16:44:37,21-04-2024 16:44:39,2.390s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_3423e9""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 124,,,21-04-2024 16:44:39,21-04-2024 16:44:41,1.580s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_standard_userlocked_out_userproblem_u_0dff71""))",Edge Chromium 124,,,21-04-2024 16:44:41,21-04-2024 16:44:44,3.261s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Open Menu""))",Edge Chromium 124,,,21-04-2024 16:44:44,21-04-2024 16:44:45,0.941s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/a_Logout""))",Edge Chromium 124,,,21-04-2024 16:44:45,21-04-2024 16:44:47,1.557s,PASSED
closeBrowser(),Edge Chromium 124,,,21-04-2024 16:44:47,21-04-2024 16:44:50,2.840s,PASSED
